CID,FIELD,GROUP,zHD,MU,MUERR,PROBIA,HOST_RA,HOST_DEC,HOST_LOGMASS,kappa_raw,kappa_ext,kappa_gal_ext,kappa_cl_ext,gamma,dmu_pred,zbin,rand_mean,rand_sig,n_rand_ok,area_frac,area_flag,cl_dz_min_2am,frac_nir,n_spec_region,hr,hr_glob
1336384,X1,X,0.58306,42.75765,0.1686,0.9998,34.095013,-4.515382,10.988,0.00397656055474753,-0.003768058830539293,-0.0014651512917874302,-0.002302907538751862,0.005077716090379066,0.008484068866757028,0.5750000000000002,0.007744619385286823,0.005269780285949077,496,1.0,False,,0.955741127348643,28317,0.12850427698314587,0.12095485543033546
1256819,X3,X,0.58576,42.72917,0.1696,0.99998,37.317287,-4.137697,9.358,0.0027391831602443404,-0.005056556459255468,-0.002943232840300362,-0.0021133236189551053,0.009590276315523592,0.01122648266174802,0.5750000000000002,0.0077957396194998085,0.005298009565548214,496,1.0,False,,0.04754973313925279,28317,0.08802959111883507,0.08048016956602466
1303118,X2,X,0.58838,42.82734,0.2545,0.99997,35.289093,-6.432256,10.8,0.0025521222447895476,-0.0052932229353169396,-0.0024772135643986535,-0.002816009370918285,0.004418774841435672,0.011822365755331573,0.5750000000000002,0.007845345180106487,0.00532540242204812,496,1.0,False,,0.0,28317,0.17461026166584287,0.16706084011303246
1255657,X2,X,0.58881,43.08574,0.1983,0.99938,35.013008,-6.038765,9.24,0.0011803670875201342,-0.00667311946322027,-0.0030222704840279554,-0.0036508489791923144,0.001242460558901266,0.014846220884906815,0.5750000000000002,0.007853486550740404,0.0053298981962065,496,1.0,False,0.047261787123696414,0.0,28317,0.4311128680212401,0.4235634464684297
1321261,X1,X,0.58936,42.37372,0.1585,0.99836,34.119068,-5.076712,9.468,0.008276469418886377,0.00041256948710258375,0.00403017123214763,-0.0036176017450450446,0.013695296187747676,-0.0008229928654344236,0.5750000000000002,0.007863899931783793,0.005335648605013732,496,1.0,False,,0.945088161209068,28317,-0.28333211814064657,-0.290881539693457
1575072,X2,X,0.59028,42.72133,0.1389,0.99984,35.743103,-6.869591,9.172,0.0019169910356086053,-0.005964327642647761,-0.0023517919147034196,-0.003612535727944342,0.0024450108093516183,0.013299815897779942,0.5750000000000002,0.007881318678256366,0.005345267470654921,496,1.0,False,,0.0,28317,0.060226330779338866,0.05267690922652846
1433226,X1,X,0.59618,42.72123,0.232,0.99998,35.024567,-4.365995,11.038,0.003534283600406961,-0.004458742256314822,-0.0008688569389093638,-0.003589885317405458,0.0034243174231417006,0.010023973824970474,0.5750000000000002,0.007993025856721783,0.005406953674223409,496,1.0,False,,0.8857532999544834,28317,0.034284948823748614,0.0267355272709382
1309051,X2,X,0.59629,42.50344,0.1896,0.99757,36.498741,-6.211505,11.28,0.0022756661335088567,-0.0057194423994216025,-0.0021661058442042367,-0.003553336555217366,0.001571030336555748,0.012781888209108323,0.5750000000000002,0.00799510853293046,0.005408103755984854,496,1.0,False,,0.0,28317,-0.18398453359561745,-0.19153395514842786
1258591,X3,X,0.5975,42.53003,0.2337,0.94467,35.551517,-4.722166,9.827,0.0034426542943649815,-0.004575363676860927,-0.0015955361110277589,-0.002979827565833168,0.009179810894430094,0.010196751712093045,0.5750000000000002,0.00801801797122591,0.005420754655360765,496,1.0,False,,0.9674185463659147,28317,-0.1626633111148455,-0.1702127326676559
1500076,X1,X,0.59892,42.69531,0.1618,1.0,34.963776,-4.614299,10.58,0.006559733012546298,-0.001485170415191626,0.0017910522602352132,-0.003276222675426839,0.0043675297783930395,0.0035203213900680715,0.5750000000000002,0.008044903427737924,0.005435601165372163,496,1.0,False,,0.9494949494949495,28317,-0.003553613473646516,-0.011103035026456928
