CID,survey,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1302648,des:E,0.23171,2.0010766874502376e-10,1.577091453925906e-09,3.6096905305693756e-09,5.325211954386956e-09,1.087462930777235e-09
1275946,des:E,0.23212,1.2458988151213294e-09,1.3205205779610381e-08,3.2649773082878675e-08,1.8040715001565338e-08,1.1023813900738892e-09
1860025,des:E,0.23532,1.1798725713467384e-09,6.448688939841492e-09,9.287106283638224e-11,1.3816948226890372e-10,1.22231034643052e-09
1927242,des:E,0.24576,1.6197428686851608e-09,4.388600396270533e-09,7.042854332021487e-08,6.18157075910568e-08,1.6566269557008007e-09
1879256,des:E,0.24936,2.8427837624780637e-09,1.0599308068628543e-08,3.0926042458091665e-10,1.1280842154992466e-10,1.8216708917457814e-09
1321450,des:E,0.25833,3.945081013492632e-07,2.542744243101259e-06,7.586399907111299e-10,1.0068350891719087e-09,2.2669908726137784e-09
1303883,des:E,0.25904,1.2301452377977322e-09,7.750267051606353e-09,5.249231703441254e-10,3.499892821827477e-10,2.304316831457988e-09
1300390,des:E,0.26765,2.1755477732465536e-08,2.3103673927550153e-07,1.0422040082679768e-08,6.211527796715714e-09,2.781218138345096e-09
1249970,des:E,0.26775,9.585700099741074e-09,6.440115782992817e-08,1.1662069145789473e-06,7.884919187695518e-07,2.787020367427832e-09
1560034,des:E,0.26891,6.167709988984895e-09,5.672148609468323e-08,2.916578774746811e-10,2.546494374864362e-10,2.8547680704237886e-09
1309874,des:E,0.27001,1.2071542995894006e-09,3.864050163712848e-08,3.392130798667817e-07,3.308513717795985e-07,2.919763106414789e-09
1773078,des:E,0.27142,5.34754500568312e-08,1.2522047969700684e-07,1.9498778501311375e-07,1.5480950290105977e-07,3.0041448047862997e-09
1339756,des:E,0.27539,1.7088457879260456e-09,3.061294786712883e-08,3.574312370786066e-06,1.011007340327443e-05,3.239398074626182e-09
1773339,des:E,0.28417,1.8482762238689608e-10,1.6312151866845788e-09,8.661799413348193e-09,1.1312550227767058e-08,3.600733712486094e-09
1297927,des:E,0.28513,2.8029156168295778e-08,1.6275678313257308e-07,7.034059966820451e-08,5.4906013153468205e-08,3.6414003719056943e-09
1289288,des:E,0.29001,7.805352351399936e-10,2.7499843174155927e-09,5.16835038751303e-08,4.436571562175609e-08,3.851653365002255e-09
1371022,des:E,0.29082,4.104003518812157e-07,7.223345690608706e-07,6.818264135791902e-08,4.4961975484092026e-08,3.887122918470668e-09
1531089,des:E,0.29149,7.203690411612694e-10,5.371842128325841e-09,4.681854612193189e-08,2.492471677517988e-07,3.916584782613256e-09
1291090,des:E,0.29199,6.49480461565863e-10,7.798957963717325e-09,3.1322908148128036e-08,3.811772536512901e-08,3.938643724899342e-09
1281668,des:E,0.30697,6.453391557524349e-10,3.861094087710083e-09,2.8511423897218723e-09,4.1166668727418265e-09,4.6282588777803546e-09
1338128,des:E,0.31184,1.2020301264558964e-10,4.568338142817538e-10,3.1439415351757046e-07,5.247104147398262e-07,4.86442938228149e-09
1791116,des:E,0.31193,1.1553823648654263e-09,7.54081710803955e-09,5.9823478844331855e-05,0.00011855312357374854,4.868849234743987e-09
1850045,des:E,0.31314,7.281159009528688e-08,9.119069763301805e-07,8.286992142272155e-10,4.04655595327194e-10,4.9284665769039e-09
1253119,des:E,0.31915,1.391895662926012e-08,2.6492968536139857e-07,4.245960163133248e-05,6.994331477623778e-05,5.229958389816039e-09
1592028,des:E,0.3251,1.2644179986464947e-05,2.4782075631642263e-05,1.939067261964404e-09,1.3374209948496915e-09,5.538080183229698e-09
1370320,des:E,0.3307,8.473028943312115e-09,3.924913413184027e-08,1.5279981445612962e-06,9.100469700643339e-07,5.88277344788126e-09
1323016,des:E,0.33485,1.5758464904100342e-07,2.163495970789659e-07,6.123785185269154e-07,5.354568904951352e-07,6.144928715759133e-09
1304145,des:E,0.33811,8.68187446604332e-08,7.117106921683197e-07,1.805640539515567e-07,6.48414528631326e-08,6.354870438176909e-09
1933035,des:E,0.34105,7.033268360196623e-07,4.495188686944164e-06,2.7829476482268076e-06,3.593206477628937e-06,6.547228503547641e-09
1336009,des:E,0.34175,2.575993566466189e-09,2.987224017073291e-08,1.0327146481678025e-07,9.363587311983454e-08,6.593450769287256e-09
1311394,des:E,0.34291,1.616825835003925e-07,7.240276690407003e-07,8.177180638525782e-07,7.458503620779159e-07,6.670405623786986e-09
1248925,des:E,0.34307,5.222301663263753e-08,2.14675524763249e-07,5.006472583331101e-08,9.000731827396596e-08,6.681055125647541e-09
1371048,des:E,0.34392,2.5951794944631596e-07,1.9338219741080076e-06,5.229978347656211e-09,6.148944475808252e-09,6.7377730338701684e-09
1291408,des:E,0.34721,7.13823790751488e-08,1.9851077513297356e-07,4.694262300777682e-07,7.472132920619445e-07,6.959564430084549e-09
1336150,des:E,0.3481,4.001242927050882e-08,8.224847786527158e-08,3.093608885588779e-07,2.3189256236256734e-07,7.020179910922034e-09
1919042,des:E,0.34814,6.970093946854011e-07,6.700257284919661e-06,9.984087821705944e-09,1.5099997024988718e-08,7.022910373867373e-09
1258906,des:E,0.34918,8.403075117550132e-09,2.4105610896292667e-08,9.885069045484608e-10,2.1164948197804948e-09,7.094088755142625e-09
1291254,des:E,0.35021,7.671134770770778e-07,2.262128713494125e-06,7.183495875628994e-07,4.476592686861656e-07,7.1649364553117556e-09
1773049,des:E,0.35023,4.5841262279241136e-07,1.0165004675798021e-06,3.3286576406445474e-08,2.8257225219675095e-08,7.166315622818459e-09
1328016,des:E,0.35071,2.670610017767781e-07,2.02985960099934e-06,8.045367530816587e-09,8.457462867796983e-09,7.199455460225506e-09
1257040,des:E,0.35177,1.4567849002308363e-07,3.436736421835032e-07,1.377155820460211e-06,2.0546658302713618e-06,7.272910091426242e-09
1247022,des:E,0.35763,5.974077125692064e-09,3.655092928092439e-07,3.5769736169079723e-09,9.292415149790706e-09,7.685717121302446e-09
1331700,des:E,0.36025,1.8786818949612852e-08,7.633548275283443e-08,2.3402299488494048e-08,3.6083026793937396e-08,7.873968736330871e-09
1500031,des:E,0.36606,1.6320698098174773e-06,9.553369796807638e-06,1.0080822716434245e-05,4.061777742631322e-06,8.299553223466399e-09
1344639,des:E,0.36672,1.1052130086803817e-09,1.0455959233985928e-08,1.9488365000693004e-07,7.112817377634415e-08,8.348606897444609e-09
