CID,survey,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1317666,des:X,0.14136,8.617730703131723e-10,1.436388401079456e-09,2.2224692623909214e-09,2.0753195697396744e-09,3.9175936925643477e-10
1296657,des:X,0.14624,1.6438094925030871e-06,1.547628010142619e-06,5.2447900600336504e-09,3.382107281255606e-09,4.400435368521354e-10
1530193,des:X,0.14802,1.2654808056454635e-07,2.0117842538546318e-07,1.594588801737902e-08,7.030862136896616e-09,4.583535850549936e-10
1277173,des:X,0.1494,2.981748887223122e-07,2.1551358877655803e-06,3.565226393713953e-12,2.7584373630135643e-12,4.728058493190089e-10
1247420,des:X,0.15026,5.182435143710362e-09,2.6134956189327757e-08,6.490611809785419e-13,1.1882823136618582e-12,4.819257900816454e-10
1317164,des:X,0.15459,1.679334737822653e-06,1.63391250741639e-06,2.6615090156119442e-12,5.588251808583031e-13,5.291671832858985e-10
1770639,des:X,0.17623,1.6827529095830132e-09,5.895930211432865e-09,5.050849361384765e-09,8.035651461900795e-09,7.990631228828675e-10
1298893,des:X,0.19616,4.459238974049243e-08,5.8592243903308494e-08,5.475325553724481e-10,1.2049581319238466e-09,1.1092107740767791e-09
1334620,des:X,0.19624,1.7395027291223175e-08,2.9439969516751313e-08,7.300580836780267e-10,1.0548472034471855e-09,1.1105579772468584e-09
1922067,des:X,0.19771,8.618127015796182e-09,3.7970790257153726e-08,4.08869105691067e-11,2.2753537308113116e-11,1.1354583805895725e-09
1309013,des:X,0.2126,8.717947738515528e-09,1.992392337218677e-08,1.6899512959083895e-09,3.6184799761170384e-09,1.4032414402095331e-09
1292805,des:X,0.21415,3.1789522116111874e-08,3.0109509047246907e-06,1.182656307563608e-10,1.389123352610027e-10,1.4327445042688696e-09
1282114,des:X,0.21781,1.0555969697068917e-07,4.3531875983407886e-07,2.470515022851403e-09,6.932660271783087e-10,1.5036278601506169e-09
1295062,des:X,0.21839,4.397689933006127e-08,4.713103755789054e-07,5.126401092944848e-10,4.091687919876207e-10,1.5150178294557268e-09
1250912,des:X,0.21898,1.3560662772040065e-07,1.1765931339077435e-07,1.139041896827505e-09,1.657828794845974e-09,1.5266482722428713e-09
1292560,des:X,0.22482,9.038894570752589e-07,1.4097791306729466e-06,3.1317353638730255e-10,1.2643358388155208e-10,1.644168623414688e-09
1248039,des:X,0.22566,1.246122457103766e-09,1.107017420400316e-08,1.146880568681931e-08,2.339826027191241e-08,1.667588713796317e-09
1288083,des:X,0.23048,3.4433882164396156e-08,4.902563603042109e-08,2.0558345067385534e-09,1.0364778699045557e-09,1.8152271074535287e-09
1291149,des:X,0.23057,1.110564950603594e-09,5.950428406138004e-09,4.896020662093944e-09,9.62378147389586e-09,1.8180433884097087e-09
1262746,des:X,0.23079,8.079592405409701e-10,2.828302772207929e-09,1.0538676243274733e-09,8.635481179975073e-10,1.8249368209199005e-09
1310367,des:X,0.23332,1.9187337656108474e-09,6.69346949874548e-08,1.0028844023130315e-05,1.3577705513618703e-05,1.9051488405820655e-09
1336687,des:X,0.2338,3.9380343175275834e-07,6.043115773980004e-07,1.2486409609767908e-09,2.355124101873048e-09,1.920561622776601e-09
1279500,des:X,0.2347,3.129108265010405e-10,1.5726914249035755e-07,2.1978255979180005e-08,2.1933307240883376e-08,1.9496279529388683e-09
1317277,des:X,0.2371,2.527804352359802e-09,3.190268252812403e-09,5.1891996132247636e-08,5.217060175505235e-08,2.0282054125106313e-09
