ls_id,ra,dec,z_best,z_is_spec,sig_z,engine,logm_p16,logm_p50,logm_p84,sig_m_photz,sig_m_total,kappa_max,kappa_sum,n_sn,survey_region
10995296323517509,52.32459829701967,-28.78472834605733,0.406191349029541,False,0.0210860427469015,sbi_zfix,11.115366556198524,11.225581743271277,11.318138696701453,0.0319,0.1063,0.0352658595607308,0.0358401159079765,2,des:C
10995434165114646,33.95999631393318,-4.644478770659484,0.1362796079271563,True,0.0,sbi_zfix,10.805598665385585,10.983219553141932,11.13646357169662,0.0,0.1654,0.0281260780140647,0.0287784173491133,4,des:X
10995301650272457,52.81054134951153,-27.65189326264164,0.2667494416236877,False,0.0278718993067741,sbi_zfix,11.167416759370935,11.28957862460531,11.390840717195642,0.1082,0.1555,0.0268673772841616,0.0298156935736605,2,des:C
10995437187121921,36.54245763808602,-4.250725302023923,0.1416296044549456,True,0.0,sbi_zfix,10.873864600084993,10.946563193224641,11.019989439867707,0.0,0.0731,0.0257646616394102,0.0258436227496225,3,des:X
10995437187108894,36.3523689429769,-4.352511090438398,0.1390289515256881,False,0.0115568628534674,sbi_zfix,11.136518323734153,11.280216749027122,11.379001195743431,0.0449,0.1293,0.0236972428346885,0.0336524213439675,7,des:X
10995432668797762,36.19382306379049,-4.982558182771963,0.1502799242734909,False,0.0064230253919959,sbi_zfix,10.789969364118912,10.902985607099868,10.998806034040786,0.0249,0.1074,0.0216432999864219,0.0218218822134044,3,des:X
10995300313346516,52.72732147467359,-27.90459801957693,0.3631343245506286,False,0.0163624845445156,sbi_zfix,11.283098793685589,11.368617630660687,11.45650730198637,0.0248,0.0902,0.0207611701730541,0.0250112633638198,2,des:C
10995437186066433,36.20149765941122,-4.15157296716674,0.4760735034942627,False,0.0334135629236698,sbi_zfix,10.441212659846284,10.68198681450937,10.807449346552827,0.0506,0.19,0.0201202989887061,0.0201202989887061,1,union3:5
10995434176652924,36.73697930720454,-4.72115354616809,0.141080307299668,True,0.0,sbi_zfix,11.174042404140799,11.426830471004813,11.520917594875662,0.0,0.1734,0.01917464173579,0.0201140995173704,5,des:X
10995434173510408,36.02088388784635,-4.78528895069606,0.2953134987649714,True,0.0,sbi_zfix,11.067814755695409,11.285554814594335,11.396277356403417,0.0,0.1642,0.0183537780427152,0.0183537780427152,1,des:X
10995301651321465,53.09163569741304,-27.78225349287542,0.677708625793457,False,0.0394725538790226,sbi_zfix,10.99512234404572,11.108249671011052,11.176790244131169,0.0438,0.1008,0.0181079642749416,0.0182999715279367,2,union3:4
10995221066158576,9.161886843470258,-44.22358560831564,0.0907240882515907,False,0.0077231093309819,sbi_zfix,10.425738324188995,10.514879216217803,10.606935490631866,0.03,0.0954,0.0167899940067837,0.0172131134810567,2,des:E
10995297649960132,52.36914700829847,-28.46398914123509,0.4805194437503814,False,0.0676285624504089,sbi_zfix,10.903572290228956,11.000524728583448,11.099842279242628,0.1024,0.1418,0.0164772021570016,0.0164772021570016,1,des:C
10995304330430638,52.54030824219495,-27.31530161467668,0.1514917314052581,False,0.0104777468368411,sbi_zfix,10.731836648720828,10.83352312638196,10.905982347268191,0.0407,0.0961,0.0155933016110901,0.0155933016110901,1,union3:4
10995225438717432,10.29780157401081,-43.29101767509788,0.1752160638570785,False,0.0165525376796722,sbi_zfix,10.864833234970167,11.063770174209669,11.149490713302686,0.0642,0.1562,0.0155224692821893,0.0155242765287254,2,des:E
10995434177695517,36.89889310471408,-4.628103909517804,0.3019681870937347,False,0.0176305845379829,sbi_zfix,11.141569183977758,11.406586693438207,11.455225990923559,0.0267,0.1591,0.0142219545041276,0.0142901602057245,2,des:X
10995300318581537,54.06809126253846,-28.05972169154284,0.1427038460969925,False,0.0343010611832141,sbi_zfix,9.43408381027196,9.558469644012195,9.646588197173816,0.1331,0.1703,0.0139886368448588,0.0139886368448588,1,des:C
10995431165148807,36.83117531402695,-5.186115960102403,0.2961537612881399,True,0.0,sbi_zfix,10.717056313974435,10.879934350473459,10.976859132272775,0.0,0.1299,0.0139649099927958,0.0140036785806509,2,des:X
10995297648909585,52.04862161740422,-28.56510594064404,0.4270373582839966,False,0.0553822144865989,sbi_zfix,10.293152795717637,10.453983293459336,10.573603616640488,0.0839,0.1634,0.01372332054049,0.01372332054049,1,des:C
10995301651321129,53.08720293609658,-27.78493366867236,0.6738525629043579,False,0.0363189503550529,sbi_zfix,10.734136606041883,10.951642061058973,11.066639924828504,0.0403,0.1711,0.0132689878218344,0.0134073676530471,2,union3:4
10995298985839696,53.90801329776409,-28.31784624080859,0.0613527819514274,False,0.0114996572956442,sbi_zfix,10.355562663936341,10.442778621577943,10.554122959041322,0.0446,0.1089,0.0131028068452379,0.0131028068452379,1,des:C
