CID,FIELD,GROUP,zHD,MU,MUERR,PROBIA,HOST_RA,HOST_DEC,HOST_LOGMASS,kappa_raw,kappa_ext,kappa_gal_ext,kappa_cl_ext,gamma,dmu_pred,zbin,rand_mean,rand_sig,n_rand_ok,area_frac,area_flag,cl_dz_min_2am,frac_nir,n_spec_region,hr,hr_glob
1317666,X3,X,0.14136,39.34775,0.1421,1.0,36.771015,-5.002413,10.062,0.00046272940594658477,-0.0001468537561395999,-0.00030014518179345614,0.00015329142565385608,0.0003248863284208489,0.0003198627553209477,0.125,0.0006095831620861847,0.0004408090824282823,496,1.0,False,,0.9592265657839428,28317,0.23729503080022607,0.21598112419665966
1296657,X2,X,0.14624,39.29023,0.1306,1.0,36.255253,-6.27862,9.466,0.004126090269066383,0.003484719712011234,0.0037592045135725225,-0.0002744848015612888,0.003224733049240243,-0.007594847767373356,0.125,0.0006413705570551486,0.00046718475390220297,496,1.0,False,,0.0,28317,0.09979021658615758,0.07847630998259118
1530193,X3,X,0.14802,39.16841,0.1602,1.0,36.571732,-5.372609,11.165,0.0007725645607424977,0.0001195994210962106,0.0002471579786427577,-0.00012755855754654723,0.0012015626051990734,-0.00025679420759365176,0.125,0.0006529651396462871,0.00047680538816932986,496,1.0,False,,0.8755803156917363,28317,-0.050582933032998684,-0.07189683963656508
1277173,X1,X,0.1494,39.34373,0.0979,0.98907,34.878971,-4.508702,10.988,0.002104203288958897,0.0014422490908992554,-0.00025915148641465747,0.0017014005773139127,0.00042441614043201974,-0.003138374550872123,0.125,0.0006619541980596416,0.00048426408215170914,496,1.0,False,0.002001044022968502,0.863734368262182,28317,0.102820888944784,0.0815069823412176
1247420,X1,X,0.15026,39.18191,0.1013,0.99945,34.056301,-4.197441,10.814,0.00279793487407978,0.002130378799037903,-0.00011138661919842511,0.002241765418236328,0.0032239881718005687,-0.004641493360531269,0.17500000000000004,0.0006675560750418771,0.0004889122537639164,496,1.0,False,0.41454975396866794,0.5939947780678851,28317,-0.04316992680752787,-0.09387522140442402
1317164,X1,X,0.15459,39.23567,0.1743,1.0,34.285286,-4.29746,10.816,0.0016206118958434746,0.0009248510215770863,0.0006304239417513332,0.00029442707982575315,0.0019584353033022827,-0.002010041827470464,0.17500000000000004,0.0006957608742663883,0.0005123152573463093,496,1.0,False,,0.9462039045553146,28317,-0.05660899888815731,-0.10731429348505346
1770639,X2,X,0.17623,40.67369,121.9264,0.0,35.444328,-6.509918,10.453,8.892416929280272e-05,-0.0007517244341652014,-0.00040486326592676416,-0.00034686116823843724,0.0007129402532323842,0.0016407438602373532,0.17500000000000004,0.0008406486034580041,0.0006295516729784363,496,1.0,False,,0.0,28317,1.0698939889459793,1.019188694349083
1298893,X2,X,0.19616,39.9279,0.1359,1.0,35.724442,-6.257048,10.786,0.0024681995252340506,0.0014340701897903485,-0.0001850260653640489,0.0016190962551543974,0.0021981377947907464,-0.0031176185963339926,0.17500000000000004,0.001034129335443702,0.0007417334723080345,496,1.0,False,0.0008694489031567562,0.0,28317,0.06728826940863672,0.016582974811740578
1334620,X2,X,0.19624,39.94861,0.1849,1.0,35.753036,-6.264285,10.159,0.001915379130987233,0.000880473154371486,-0.0003926397811370866,0.0012731129355085726,0.0006770485771955105,-0.0019140461611205136,0.17500000000000004,0.001034905976615747,0.0007421837755667585,496,1.0,False,0.0008025145455761291,0.0,28317,0.08701723459837171,0.03631194000147557
1922067,X1,X,0.19771,39.8289,0.1094,1.0,34.866459,-4.913116,8.974,0.0004827944925812536,-0.0005663822655708194,-0.00012355797592308946,-0.00044282428964772977,0.00044408336670188507,0.0012427498203148916,0.17500000000000004,0.001049176758152073,0.0007504580979458106,496,1.0,False,,0.9578524836929252,28317,-0.05065342331185587,-0.10135871790875202
1309013,X2,X,0.2126,40.01692,0.1966,1.0,35.46608,-7.339446,10.492,0.0002856061497331998,-0.0009081229465657394,-0.0004119611940565739,-0.0004961617525091655,0.0020361902191800667,0.0019845007915508407,0.22500000000000003,0.0011937290962989392,0.0008342707919758016,496,1.0,False,,0.0,28317,-0.07822356797785089,-0.08858713429287919
1292805,X3,X,0.21415,41.12692,0.8952,0.0722,35.723347,-4.491385,10.678,0.002397595806584467,0.0011888192875771568,0.0017051566593510458,-0.0005163373717738889,0.0034797470981293177,-0.0025819995070920686,0.22500000000000003,0.0012087765190073102,0.0008429954176135776,496,1.0,False,0.4631635300415928,0.8744889615699101,28317,1.0141938145994231,1.0038302482843948
1282114,X1,X,0.21781,40.26232,0.1452,0.99999,35.116001,-4.53321,10.19,0.0002388231624338731,-0.0010054846901944936,-0.0005947932412574682,-0.00041069144893702517,0.0011079972051088727,0.002199594693930258,0.22500000000000003,0.0012443078526283666,0.0008635967917001973,496,1.0,False,,0.9520661157024793,28317,0.10854020188646986,0.09817663557144156
1295062,X2,X,0.21839,40.05123,0.2672,0.99679,35.482319,-5.598152,9.209,6.858179690732196e-05,-0.0011813567042183704,-0.0006409837582231802,-0.00054037294599519,0.00046145319288082266,0.002582647116751285,0.22500000000000003,0.0012499385011256923,0.0008668614903259457,496,1.0,False,,0.28928247048138056,28317,-0.10899674888837295,-0.11936031520340125
1250912,X3,X,0.21898,40.34771,0.1788,1.0,36.689491,-3.992791,10.614,0.0005145128784268658,-0.000741153351342658,-0.0002303081814234929,-0.000510845169919165,0.0002822486953386678,0.0016266913963521638,0.22500000000000003,0.0012556662297695238,0.0008701824768590346,496,1.0,False,,0.48593558907460255,28317,0.18094141806340505,0.17057785174837675
