CID,sample,row_index,region,zHD,MU,MUERR,PROBIA,HOST_RA,HOST_DEC,HOST_LOGMASS,clipped,cluster_targeted,cluster_tier_ok,kappa_raw,kappa_ext,kappa_gal_ext,kappa_cl_ext,gamma,dmu_pred,zbin,rand_mean,rand_sig,n_rand_ok,area_frac,area_flag,frac_nir,hr
13135,SDSS,745,4,0.10361,19.0808,0.123462,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,0.029715685375666656
20064,SDSS,746,4,0.10374,18.9549,0.194592,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,-0.09908393573476476
13038,SDSS,747,4,0.10507,19.1765,0.234634,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,0.09304706741162844
18697,SDSS,748,4,0.10661,19.0081,0.193664,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,-0.10903635091526115
20625,SDSS,749,4,0.10707,19.2094,0.14869,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,0.0822917758878921
3256,SDSS,750,4,0.10711,19.1765,0.208727,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,0.04852657562225088
21034,SDSS,752,4,0.10774,19.2454,0.178023,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,0.10383989385070064
7147,SDSS,754,4,0.10908,19.1486,0.130417,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,-0.021610286677482715
18650,SDSS,756,4,0.11259,19.3684,0.160952,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,0.12469367303099671
18612,SDSS,757,4,0.11388,19.1346,0.193044,1.0,-9.0,-9.0,,False,False,True,8.752250730235348e-06,-0.00042175629661402026,-6.616804141744802e-05,-0.0003555882551965723,0.0001385048821794405,0.0009192582958512954,0.125,0.0004305085473442556,0.00019441647994143863,200,1.0,False,0.0,-0.13557404306176596
