CID,sample,HOST_RA,HOST_DEC,zHD,HOST_LOGMASS,MU,MUERR,PROBIA,clipped,cluster_targeted
SN1992bo,CalanTololo,20.4935,-34.21208333333333,0.01811341289519275,12.13,34.67664908975588,0.17494388546615597,1.0,False,False
SN1992bp,CalanTololo,54.15812500000001,-18.353805555555557,0.07884236283126578,11.0,37.5473570838683,0.11871858483774006,1.0,False,False
SN1992br,CalanTololo,26.43679166666667,-56.09941666666667,0.08775190810302824,11.0,38.26744627388575,0.16028911104060883,1.0,False,False
SN1992bs,CalanTololo,52.36333333333333,-37.27191666666667,0.0633469217781577,11.0,37.37777533567282,0.1302225869945054,1.0,False,False
SN1993B,CalanTololo,158.71408333333335,-34.44166666666667,0.07076093059205935,11.0,37.450594682684816,0.12299984077589948,1.0,False,False
SN1993O,CalanTololo,202.78279166666664,-33.21402777777778,0.05197428696094786,11.0,36.81333797403726,0.12525905409711327,1.0,False,False
SN1993ag,CalanTololo,150.89583333333334,-35.46322222222222,0.05009514996802222,11.0,36.74186675597395,0.13176443196804877,1.0,False,False
SN1993ac,CfA1,86.59825,63.36861,0.04928288243382006,11.0,36.83031577343484,0.13843816870685732,1.0,False,False
SN1994M,CfA1,187.785864,0.605457,0.024152423883694762,11.04,35.09937286877122,0.15408186151937558,1.0,False,False
SN1994S,CfA1,187.841044,29.134436,0.01612748814637177,10.5,34.15217715280597,0.18766451672761852,1.0,False,False
SN1995ac,CfA1,341.39225,-8.751306,0.04878259523455486,11.0,36.286068610895846,0.12642412328124986,1.0,False,False
SN1995ak,CfA1,41.453458,3.230583,0.022268217418953018,11.0,34.82603158541422,0.157252230793355,1.0,False,False
SN1996C,CfA1,207.74619,49.3436,0.030108604832066455,9.99,35.67220462747832,0.14267518001715127,1.0,False,False
SN1996ab,CfA1,230.284792,27.926889,0.12470506246436464,10.0,38.88704458884756,0.1454461240613253,1.0,False,False
SN1996bl,CfA1,9.074875,11.394583,0.034795562937559366,11.0,35.857831338571735,0.13748418546176974,1.0,False,False
SN1996bo,CfA1,27.095258,11.520869,0.016285014009155274,10.37,34.0685934297115,0.1859281150500696,1.0,False,False
SN1996bv,CfA1,94.054167,57.052472,0.016777146159438816,10.15,34.17119267237069,0.1853930655197186,1.0,False,False
SN1997E,CfA2,101.90875,74.4975,0.013333758617729563,11.52,33.97924892021382,0.22718380049532233,1.0,False,False
SN1997Y,CfA2,191.380833,54.738056,0.01656782271788315,10.42,34.300199197982664,0.20778818769586796,1.0,False,False
SN1997dg,CfA2,355.05921,26.20328,0.029619375726388508,11.0,35.987700793960784,0.16552011294145566,1.0,False,False
SN1997do,CfA2,111.677083,47.093333,0.010477347412184201,9.3,33.288850632900434,0.269579713561884,1.0,False,False
