region,ra,dec,radius_deg,n_sn,z_max,process
0,210.49046717744304,4.927625143694094,0.19918120577699625,4,1.124,True
1,209.2845851661097,4.428833493018195,0.08927755301186316,2,1.03,True
2,346.14483333333345,-37.34502777777778,4.045650284540155e-14,1,0.1008256185716736,False
3,230.28479199999998,27.926889,0.0,1,0.1247050624643646,False
4,53.46175111918515,-28.02749453434417,2.094457362589664,104,1.5500177046042452,True
5,35.98423134793225,-4.741278284017405,2.3500175758628035,157,1.3131010648273116,True
6,41.801458815372584,-0.6369606364465086,2.3466080099892412,52,0.6378614217424781,True
7,7.210347470458181,-43.23002943788737,0.47589764883988744,6,0.578825525673117,True
8,33.91273394977988,-4.551410317740068,0.5026845071917444,5,0.6431211033103379,True
9,7.6938392566289275,-42.390304043713876,0.43828070803161784,6,0.6087924293093023,True
10,9.320142159893425,-43.982125289687104,0.9902197328904904,20,0.5648594784021899,True
11,8.468144,-42.094757,0.0,1,0.4217288327608803,True
12,42.45193066072263,0.6950734985325536,0.21389809242750807,2,0.3262460754704019,True
13,36.534325,-6.759992,0.0,1,0.2889810454691184,True
14,37.70763673379331,-8.493536968946236,1.1972392424536134,57,0.7686546099321914,True
15,351.944565579243,-9.121515745518973,1.2151519003737081,21,0.7579073030839674,True
16,32.05355166947163,-4.255853511049418,1.2623377834838618,50,0.7265073201831505,True
17,17.779404874197205,0.2032380341994319,1.6501869091879189,57,0.8050809213896892,True
18,202.63361999999998,-0.73458,2.5442346279281127e-14,1,0.1038773038972908,False
19,329.84155000000004,-21.11967,4.7470663613498166e-14,1,0.1094217239559063,False
20,322.4275,-7.696583333333334,1.5902773407317584e-15,1,1.206,True
21,150.08121689965782,2.246475453992285,1.5505793215296129,87,1.54,True
22,189.24849800326527,62.216158870216006,0.16580581265374916,23,1.390961254833751,True
23,140.066667,0.5609999999999999,9.93923337957349e-17,1,0.1561320932096783,False
24,165.315667,-11.754222000000002,1.5902773407317584e-15,1,0.1241039352362156,False
25,191.25349999999997,-6.458389,2.5282962150062063e-14,1,0.1441217532396852,False
26,179.251667,-11.444000000000003,1.5902773407317584e-15,1,0.1298770954642487,False
27,333.8159869541464,0.49386926381488355,1.5511134219301201,45,0.6318528453030889,True
28,129.80023529559193,44.176632286923876,1.0414636717722054,20,0.5788346212854656,True
29,162.25027350173852,57.46737127653122,0.8591291384911369,9,0.5882395807097396,True
30,131.72196448381104,44.58294855086751,0.890508513573274,14,0.5015019024309428,True
31,186.45941556480747,46.040963507073684,0.08936979429369481,2,0.2916031972277881,True
32,214.77994667883,52.85343396617083,2.1060035409438957,88,1.0608002241417207,True
33,161.2272425005065,58.27455226646853,0.28193490935563736,3,0.4048262380468377,True
34,159.591575,57.39008329999999,0.0,1,0.1028822839656904,False
35,211.86239999999998,53.3429167,1.519095049098986e-14,1,0.2609145508479955,True
36,162.4645611057984,58.86539585202996,0.09329076594409277,2,0.5032591817957657,True
37,184.53899127895775,47.86601614635801,0.4964983772014732,7,0.3357099832227843,True
38,242.82897174971154,54.94229226357142,1.3868948327081492,32,0.666698401717537,True
39,241.4368042,56.0744167,0.0,1,0.3283939561618896,True
40,213.00708676992886,51.872869177504306,0.19923380295895798,2,0.4510026369982192,True
41,352.3735565312629,-0.5005221770639808,1.2857418804469416,23,0.506959790873426,True
42,351.67927887265034,-1.7428499151406613,0.2289384604183605,2,0.2872282380732514,True
43,131.827975,43.4081139,0.0,1,0.1734236165397173,False
44,352.30072961200284,0.7174112322297239,0.3043053303906357,3,0.3649253628609912,True
45,163.56153372156757,58.98211494738151,0.3610237453501184,3,0.2751318682804606,True
46,183.56112970085925,46.85583498264683,0.3755698933151736,3,0.293609740033445,True
47,185.13753749999998,46.6661472,1.7461200228282993e-14,1,0.1333887228959385,False
48,186.42755078730843,46.70115442939736,0.1524059537532275,2,0.531757715042072,True
49,163.2835333,57.2012611,0.0,1,0.3608300943889413,True
50,185.94920535750137,47.782667872726506,0.4605668023614493,5,0.5037009632934415,True
51,151.3088875,1.7006721999999999,1.987846675914698e-16,1,0.4791318377553717,True
52,130.2198375,45.6321444,0.0,1,0.2937387881143414,True
53,149.75102869175365,0.8474666356641143,0.2084409533223517,2,0.4246596137745251,True
54,214.0331625,51.7321167,0.0,1,0.4376895378084386,True
55,184.13838749999996,45.9620417,1.7687313396264282e-14,1,0.5461006007515081,True
56,244.45137079999998,54.6333833,2.945479330547396e-14,1,0.3080575742607445,True
57,352.6755042,-1.5559889000000005,3.975693351829396e-16,1,0.3066053083919786,True
58,47.69326,-0.204882,0.0,1,0.146889,False
59,9.355659000000001,0.9732740000000001,1.590047906925027e-15,1,0.380494,True
60,315.189953,0.191662,0.0,1,0.1618,False
61,4.016125000000001,0.807558,7.950596920492673e-16,1,0.250289,True
62,359.6268779367366,0.5005056738958231,0.6773875721516022,5,0.316413,True
63,320.01993600000003,-0.177441,0.0,1,0.208468,True
64,321.28709423337506,0.35507976998372753,0.07697113719915233,2,0.402761,True
65,36.01210400000001,-0.04848100000000001,6.361110118943123e-15,1,0.549726,True
66,13.219948222582122,0.5396790178699828,0.09299726657897911,2,0.243149,True
67,339.1236633547339,0.608294717684386,0.2245295996791626,3,0.237417,True
68,15.535334,-0.878981,0.0,1,0.190088,False
69,328.6086530617998,0.48091541885099437,0.7792764159152357,9,0.286553,True
70,34.37415640732665,0.3366430134740668,0.5406735237610797,5,0.314944,True
71,46.59334807425767,0.9237432036041284,0.2815540995651863,3,0.176245,True
72,25.136430204928143,-0.6450058403397143,0.2620552774470942,3,0.243405,True
73,45.32306299999999,-0.644066,6.360707466842053e-15,1,0.183217,False
74,320.41355500000003,0.8946560000000001,5.088276827606353e-14,1,0.296391,True
75,323.79904600000003,0.163079,5.088866877238552e-14,1,0.261657,True
76,338.7622324422281,-0.10605471516293355,0.37103167328242503,3,0.280694,True
